Total Nacional	Comunidades y Ciudades Autónomas	Edad (año a año)	Españoles/Extranjeros	Sexo	Año	Total
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2005	562.309
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2004	554.784
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2003	549.690
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2002	542.275
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2001	537.606
Total Nacional	06 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2000	531.159
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2022	2.372.640
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2021	2.383.139
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2020	2.394.918
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2019	2.399.548
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2018	2.409.164
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2017	2.425.801
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2016	2.447.519
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2015	2.472.052
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2014	2.494.790
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2013	2.519.875
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2012	2.546.078
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2011	2.558.463
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2010	2.559.515
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2009	2.563.521
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2008	2.557.330
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2007	2.528.417
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2006	2.523.020
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2005	2.510.849
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2004	2.493.918
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2003	2.487.646
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2002	2.480.369
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2001	2.479.425
Total Nacional	07 Castilla y León	TOTAL EDADES	TOTAL	Ambos sexos	2000	2.479.118
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2022	2.053.328
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2021	2.049.562
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2020	2.045.221
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2019	2.032.863
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2018	2.026.807
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2017	2.031.479
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2016	2.041.631
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2015	2.059.191
Total Nacional	08 Castilla - La Mancha	TOTAL EDADES	TOTAL	Ambos sexos	2014	2.078.611
