Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;periodo;Total
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2018;36.875
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2016;31.397
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2014;39.255
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2013;45.199
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2012;42.671
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2011;38.838
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2010;49.569
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2009;51.861
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2008;51.895
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2007;51.404
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2006;..
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2005;..
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2004;..
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2003;..
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2002;..
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2001;..
Total Nacional;02 Aragón;2. Volumen de agua no registrada;2000;..
Total Nacional;02 Aragón;- Pérdidas reales;2022;32.230
Total Nacional;02 Aragón;- Pérdidas reales;2020;30.386
Total Nacional;02 Aragón;- Pérdidas reales;2018;25.406
Total Nacional;02 Aragón;- Pérdidas reales;2016;22.386
Total Nacional;02 Aragón;- Pérdidas reales;2014;27.086
Total Nacional;02 Aragón;- Pérdidas reales;2013;28.249
Total Nacional;02 Aragón;- Pérdidas reales;2012;26.029
Total Nacional;02 Aragón;- Pérdidas reales;2011;27.575
Total Nacional;02 Aragón;- Pérdidas reales;2010;37.673
Total Nacional;02 Aragón;- Pérdidas reales;2009;36.821
Total Nacional;02 Aragón;- Pérdidas reales;2008;34.251
Total Nacional;02 Aragón;- Pérdidas reales;2007;32.899
Total Nacional;02 Aragón;- Pérdidas reales;2006;27.151
Total Nacional;02 Aragón;- Pérdidas reales;2005;36.714
Total Nacional;02 Aragón;- Pérdidas reales;2004;32.023
Total Nacional;02 Aragón;- Pérdidas reales;2003;38.561
Total Nacional;02 Aragón;- Pérdidas reales;2002;44.476
Total Nacional;02 Aragón;- Pérdidas reales;2001;51.127
Total Nacional;02 Aragón;- Pérdidas reales;2000;61.457
Total Nacional;02 Aragón;- Pérdidas aparentes;2022;6.163
Total Nacional;02 Aragón;- Pérdidas aparentes;2020;15.685
Total Nacional;02 Aragón;- Pérdidas aparentes;2018;11.469
Total Nacional;02 Aragón;- Pérdidas aparentes;2016;9.011
Total Nacional;02 Aragón;- Pérdidas aparentes;2014;12.169
Total Nacional;02 Aragón;- Pérdidas aparentes;2013;16.950
Total Nacional;02 Aragón;- Pérdidas aparentes;2012;16.642
Total Nacional;02 Aragón;- Pérdidas aparentes;2011;11.263
Total Nacional;02 Aragón;- Pérdidas aparentes;2010;11.896
Total Nacional;02 Aragón;- Pérdidas aparentes;2009;15.040
Total Nacional;02 Aragón;- Pérdidas aparentes;2008;17.644
Total Nacional;02 Aragón;- Pérdidas aparentes;2007;18.505
Total Nacional;02 Aragón;- Pérdidas aparentes;2006;..
Total Nacional;02 Aragón;- Pérdidas aparentes;2005;..
Total Nacional;02 Aragón;- Pérdidas aparentes;2004;..
Total Nacional;02 Aragón;- Pérdidas aparentes;2003;..
Total Nacional;02 Aragón;- Pérdidas aparentes;2002;..
Total Nacional;02 Aragón;- Pérdidas aparentes;2001;..
Total Nacional;02 Aragón;- Pérdidas aparentes;2000;..
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2022;115.726
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2020;103.915
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2018;104.933
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2016;120.402
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2014;114.172
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2013;116.005
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2012;115.033
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2011;120.245
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2010;121.519
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2009;123.506
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2008;128.172
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2007;132.891
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2006;121.227
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2005;120.886
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2004;128.458
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2003;116.928
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2002;109.460
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2001;116.221
Total Nacional;03 Asturias, Principado de;Volumen de agua suministrada a la red de abastecimiento público;2000;108.870
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2022;70.320
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2020;70.895
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2018;76.093
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2016;83.733
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2014;78.790
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2013;74.885
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2012;77.558
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2011;82.647
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2010;86.698
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2009;86.457
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2008;98.830
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2007;103.151
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2006;109.556
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2005;106.063
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2004;103.528
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2003;95.943
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2002;92.108
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2001;93.788
Total Nacional;03 Asturias, Principado de;1. Volumen total de agua registrada y distribuida por tipo de usuario;2000;83.173
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2022;45.407
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2020;33.020
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2018;28.840
Total Nacional;03 Asturias, Principado de;2. Volumen de agua no registrada;2016;36.669
