Total Nacional;Comunidades y Ciudades Autónomas;Tipo de captación;periodo;Total
Total Nacional;04 Balears, Illes;Aguas superficiales;2020;14.671
Total Nacional;04 Balears, Illes;Aguas superficiales;2018;11.532
Total Nacional;04 Balears, Illes;Aguas superficiales;2016;4.955
Total Nacional;04 Balears, Illes;Aguas superficiales;2014;11.561
Total Nacional;04 Balears, Illes;Aguas superficiales;2013;8.487
Total Nacional;04 Balears, Illes;Aguas superficiales;2012;11.088
Total Nacional;04 Balears, Illes;Aguas superficiales;2011;10.689
Total Nacional;04 Balears, Illes;Aguas superficiales;2010;24.057
Total Nacional;04 Balears, Illes;Aguas superficiales;2009;21.651
Total Nacional;04 Balears, Illes;Aguas superficiales;2008;14.751
Total Nacional;04 Balears, Illes;Aguas superficiales;2007;18.603
Total Nacional;04 Balears, Illes;Aguas superficiales;2006;25.932
Total Nacional;04 Balears, Illes;Aguas superficiales;2005;22.898
Total Nacional;04 Balears, Illes;Aguas superficiales;2004;36.588
Total Nacional;04 Balears, Illes;Aguas superficiales;2003;16.854
Total Nacional;04 Balears, Illes;Aguas superficiales;2002;21.905
Total Nacional;04 Balears, Illes;Aguas superficiales;2001;16.343
Total Nacional;04 Balears, Illes;Aguas superficiales;2000;22.525
Total Nacional;04 Balears, Illes;Aguas subterráneas;2022;42.881
Total Nacional;04 Balears, Illes;Aguas subterráneas;2020;45.781
Total Nacional;04 Balears, Illes;Aguas subterráneas;2018;77.076
Total Nacional;04 Balears, Illes;Aguas subterráneas;2016;79.307
Total Nacional;04 Balears, Illes;Aguas subterráneas;2014;82.268
Total Nacional;04 Balears, Illes;Aguas subterráneas;2013;76.578
Total Nacional;04 Balears, Illes;Aguas subterráneas;2012;50.838
Total Nacional;04 Balears, Illes;Aguas subterráneas;2011;46.264
Total Nacional;04 Balears, Illes;Aguas subterráneas;2010;48.692
Total Nacional;04 Balears, Illes;Aguas subterráneas;2009;48.255
Total Nacional;04 Balears, Illes;Aguas subterráneas;2008;65.497
Total Nacional;04 Balears, Illes;Aguas subterráneas;2007;55.846
Total Nacional;04 Balears, Illes;Aguas subterráneas;2006;41.289
Total Nacional;04 Balears, Illes;Aguas subterráneas;2005;53.362
Total Nacional;04 Balears, Illes;Aguas subterráneas;2004;38.765
Total Nacional;04 Balears, Illes;Aguas subterráneas;2003;43.367
Total Nacional;04 Balears, Illes;Aguas subterráneas;2002;43.669
Total Nacional;04 Balears, Illes;Aguas subterráneas;2001;45.038
Total Nacional;04 Balears, Illes;Aguas subterráneas;2000;52.915
Total Nacional;04 Balears, Illes;Desalación;2022;13.890
Total Nacional;04 Balears, Illes;Desalación;2020;15.445
Total Nacional;04 Balears, Illes;Desalación;2018;7.464
Total Nacional;04 Balears, Illes;Desalación;2016;8.555
Total Nacional;04 Balears, Illes;Desalación;2014;16.577
Total Nacional;04 Balears, Illes;Desalación;2013;23.808
Total Nacional;04 Balears, Illes;Desalación;2012;0
Total Nacional;04 Balears, Illes;Desalación;2011;12.633
Total Nacional;04 Balears, Illes;Desalación;2010;7.672
Total Nacional;04 Balears, Illes;Desalación;2009;9.596
Total Nacional;04 Balears, Illes;Desalación;2008;6.452
Total Nacional;04 Balears, Illes;Desalación;2007;6.822
Total Nacional;04 Balears, Illes;Desalación;2006;7.671
Total Nacional;04 Balears, Illes;Desalación;2005;9.366
Total Nacional;04 Balears, Illes;Desalación;2004;12.454
Total Nacional;04 Balears, Illes;Desalación;2003;6.881
