Total Nacional;Comunidades y Ciudades Autónomas;Tipo de captación;periodo;Total
Ceuta y Melilla;;Aguas superficiales;2007;1.182
Ceuta y Melilla;;Aguas superficiales;2006;1.321
Ceuta y Melilla;;Aguas superficiales;2005;990
Ceuta y Melilla;;Aguas superficiales;2004;732
Ceuta y Melilla;;Aguas superficiales;2003;2.965
Ceuta y Melilla;;Aguas superficiales;2002;1.543
Ceuta y Melilla;;Aguas superficiales;2001;2.951
Ceuta y Melilla;;Aguas superficiales;2000;1.122
Ceuta y Melilla;;Aguas subterráneas;2022;7.212
Ceuta y Melilla;;Aguas subterráneas;2020;0
Ceuta y Melilla;;Aguas subterráneas;2018;973
Ceuta y Melilla;;Aguas subterráneas;2016;973
Ceuta y Melilla;;Aguas subterráneas;2014;5.498
Ceuta y Melilla;;Aguas subterráneas;2013;5.579
Ceuta y Melilla;;Aguas subterráneas;2012;7.034
Ceuta y Melilla;;Aguas subterráneas;2011;3.079
Ceuta y Melilla;;Aguas subterráneas;2010;5.485
Ceuta y Melilla;;Aguas subterráneas;2009;4.923
Ceuta y Melilla;;Aguas subterráneas;2008;6.078
Ceuta y Melilla;;Aguas subterráneas;2007;10.655
Ceuta y Melilla;;Aguas subterráneas;2006;10.748
Ceuta y Melilla;;Aguas subterráneas;2005;11.116
Ceuta y Melilla;;Aguas subterráneas;2004;10.099
Ceuta y Melilla;;Aguas subterráneas;2003;12.326
Ceuta y Melilla;;Aguas subterráneas;2002;10.980
Ceuta y Melilla;;Aguas subterráneas;2001;9.934
Ceuta y Melilla;;Aguas subterráneas;2000;11.549
Ceuta y Melilla;;Desalación;2022;13.529
Ceuta y Melilla;;Desalación;2020;7.070
Ceuta y Melilla;;Desalación;2018;6.696
Ceuta y Melilla;;Desalación;2016;13.820
Ceuta y Melilla;;Desalación;2014;0
Ceuta y Melilla;;Desalación;2013;0
Ceuta y Melilla;;Desalación;2012;0
Ceuta y Melilla;;Desalación;2011;0
Ceuta y Melilla;;Desalación;2010;6.937
Ceuta y Melilla;;Desalación;2009;7.182
Ceuta y Melilla;;Desalación;2008;7.960
Ceuta y Melilla;;Desalación;2007;7.970
Ceuta y Melilla;;Desalación;2006;8.008
Ceuta y Melilla;;Desalación;2005;0
Ceuta y Melilla;;Desalación;2004;7.699
Ceuta y Melilla;;Desalación;2003;5.656
Ceuta y Melilla;;Desalación;2002;4.450
Ceuta y Melilla;;Desalación;2001;5.047
Ceuta y Melilla;;Desalación;2000;5.152
