Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;periodo;Total
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2010;649.614
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2009;677.212
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2008;617.991
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2007;590.011
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2006;552.921
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2005;580.191
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2004;572.649
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2003;292.031
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2002;247.118
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2001;247.468
Total Nacional;02 Aragón;Volumen de aguas residuales tratadas;2000;257.880
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2022;1.807
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2020;10.043
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2018;37.180
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2016;4.063
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2014;4.189
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2013;4.363
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2012;3.410
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2011;4.022
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2010;4.936
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2009;3.712
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2008;2.336
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2007;2.565
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2006;1.053
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2005;4.078
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2004;959
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2003;266
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2002;36.069
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2001;31.213
Total Nacional;02 Aragón;Volumen total de agua reutilizada;2000;31.000
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2022;110.444
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2020;87.533
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2018;85.125
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2016;79.873
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2014;73.280
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2013;72.693
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2012;67.075
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2011;67.745
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2010;75.532
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2009;72.348
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2008;69.785
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2007;91.409
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2006;63.835
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2005;54.485
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2004;46.549
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2003;30.007
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2002;28.238
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2001;23.887
Total Nacional;02 Aragón;Importe facturado por alcantarillado y depuración;2000;23.638
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2022;2.820
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2020;4.649
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2018;4.697
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2016;4.852
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2014;4.398
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2013;4.037
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2012;..
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2011;..
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2010;..
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2009;..
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2008;..
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2007;..
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2006;..
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2005;..
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2004;..
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2003;..
Total Nacional;02 Aragón;Longitud de la red de alcantarillado (km);2002;..
